timestamp,event_type,slot,gate,duration_seconds,fee,message
2026-03-17 17:43:21,heartbeat,,,,,Heartbeat
2026-03-17 17:43:31,heartbeat,,,,,Heartbeat
2026-03-17 17:43:41,heartbeat,,,,,Heartbeat
2026-03-17 17:43:51,heartbeat,,,,,Heartbeat
2026-03-17 17:43:59,parking_finished,slot1,,42,4000,slot1 freed | Duration: 42s | Fee: 4000 Riel
2026-03-17 17:44:01,heartbeat,,,,,Heartbeat
2026-03-17 17:44:12,heartbeat,,,,,Heartbeat
2026-03-17 17:44:20,vehicle_at_entry,,,,,Vehicle detected at entry (3.94 cm)
2026-03-17 17:44:20,entry_gate_opened,,entry,,,Entry gate open
2026-03-17 17:44:21,entry_clear,,,,,Entry area clear
2026-03-17 17:44:22,heartbeat,,,,,Heartbeat
2026-03-17 17:44:23,entry_gate_closed,,entry,,,Entry gate closed
2026-03-17 17:44:24,parking_started,slot1,,,,slot1 occupied
2026-03-17 17:44:32,heartbeat,,,,,Heartbeat
2026-03-17 17:44:42,heartbeat,,,,,Heartbeat
2026-03-17 17:44:52,heartbeat,,,,,Heartbeat
2026-03-17 17:44:59,vehicle_at_entry,,,,,Vehicle detected at entry (3.64 cm)
2026-03-17 17:44:59,entry_gate_opened,,entry,,,Entry gate open
2026-03-17 17:45:00,entry_clear,,,,,Entry area clear
2026-03-17 17:45:03,entry_gate_closed,,entry,,,Entry gate closed
2026-03-17 17:45:03,heartbeat,,,,,Heartbeat
2026-03-17 17:45:13,heartbeat,,,,,Heartbeat
2026-03-17 17:45:23,heartbeat,,,,,Heartbeat
2026-03-17 17:45:29,vehicle_at_entry,,,,,Vehicle detected at entry (4.29 cm)
2026-03-17 17:45:29,entry_gate_opened,,entry,,,Entry gate open
2026-03-17 17:45:30,entry_clear,,,,,Entry area clear
2026-03-17 17:45:33,entry_gate_closed,,entry,,,Entry gate closed
2026-03-17 17:45:33,heartbeat,,,,,Heartbeat
2026-03-17 17:45:33,parking_started,slot2,,,,slot2 occupied
2026-03-17 17:45:38,vehicle_at_entry,,,,,Vehicle detected at entry (2.68 cm)
2026-03-17 17:45:38,entry_gate_opened,,entry,,,Entry gate open
2026-03-17 17:45:39,entry_clear,,,,,Entry area clear
